This file contains the cluster number at each minimum cluster size (MCS) computed using the dynamic tree cut algorithm. The rows are sorted according to the ReefID. A value of 0 indicates that the reef was not included in any cluster for a particular MCS value.
Reef ID,MCS=1,MCS=5,MCS=10,MCS=15,MCS=20,MCS=25,MCS=50,MCS=75,MCS=100,MCS=125,MCS=150,MCS=160
250,915,290,4,15,32,42,2,10,0,0,0,0
251,915,290,4,15,32,42,2,10,0,0,0,0
252,421,136,4,15,32,42,2,10,0,0,0,0
253,897,290,4,15,32,42,2,10,0,0,0,0
254,678,136,4,15,32,42,2,10,0,0,0,0
255,765,254,4,15,32,42,2,10,0,0,0,0
256,166,254,4,15,32,42,2,10,0,0,0,0
257,166,254,4,15,32,42,2,10,0,0,0,0
258,591,290,4,15,32,42,2,10,0,0,0,0
259,591,290,4,15,32,42,2,10,0,0,0,0
260,591,290,4,15,32,42,2,10,0,0,0,0
261,897,290,4,15,32,42,2,10,0,0,0,0
262,765,254,4,15,32,42,2,10,0,0,0,0
263,166,254,4,15,32,42,2,10,0,0,0,0
264,573,208,89,54,11,22,2,10,0,0,0,0
265,573,208,89,54,11,22,2,10,0,0,0,0
266,828,44,8,32,45,51,14,17,13,0,0,1
267,828,44,8,32,45,51,14,17,13,0,0,1
268,573,208,89,54,11,22,2,10,0,0,0,0
269,723,161,112,7,20,14,14,17,13,2,2,1
270,723,161,112,7,20,14,14,17,13,2,2,1
271,542,161,112,7,20,14,14,17,13,2,2,1
272,799,161,112,7,20,14,14,17,13,2,2,1
273,542,161,112,7,20,14,14,17,13,2,2,1
274,708,168,18,49,62,63,2,10,0,0,0,0
275,708,168,18,49,62,63,2,10,0,0,0,0
276,799,161,112,7,20,14,14,17,13,2,2,1
277,542,161,112,7,20,14,14,17,13,2,2,1
278,234,168,18,49,62,63,2,10,0,0,0,0
279,234,168,18,49,62,63,2,10,0,0,0,0
280,635,168,18,49,62,63,2,10,0,0,0,0
281,234,168,18,49,62,63,2,10,0,0,0,0
282,521,40,18,49,62,63,2,10,0,0,0,0
283,521,40,18,49,62,63,2,10,0,0,0,0
284,651,0,0,0,0,0,0,0,0,0,0,0
285,635,168,18,49,62,63,2,10,0,0,0,0
286,234,168,18,49,62,63,2,10,0,0,0,0
287,687,0,0,0,0,0,0,0,0,0,0,0
288,825,44,8,32,45,51,14,17,13,0,0,1
289,635,168,18,49,62,63,2,10,0,0,0,0
290,234,168,18,49,62,63,2,10,0,0,0,0
291,521,40,18,49,62,63,2,10,0,0,0,0
292,825,44,8,32,45,51,14,17,13,0,0,1
293,651,0,0,0,0,0,0,0,0,0,0,0
294,281,40,18,49,62,63,2,10,0,0,0,0
295,281,40,18,49,62,63,2,10,0,0,0,0
296,281,40,18,49,62,63,2,10,0,0,0,0
297,315,40,18,49,62,63,2,10,0,0,0,0
298,281,40,18,49,62,63,2,10,0,0,0,0
299,578,40,18,49,62,63,2,10,0,0,0,0
300,315,40,18,49,62,63,2,10,0,0,0,0
301,315,40,18,49,62,63,2,10,0,0,0,0
302,687,0,0,0,0,0,0,0,0,0,0,0
303,651,0,0,0,0,0,0,0,0,0,0,0
304,578,40,18,49,62,63,2,10,0,0,0,0
305,315,40,18,49,62,63,2,10,0,0,0,0
306,359,38,89,54,11,22,2,10,0,0,0,0
307,359,38,89,54,11,22,2,10,0,0,0,0
308,687,0,0,0,0,0,0,0,0,0,0,0
309,578,40,18,49,62,63,2,10,0,0,0,0
310,774,363,18,49,62,63,2,10,0,0,0,0
311,774,363,18,49,62,63,2,10,0,0,0,0
312,359,38,89,54,11,22,2,10,0,0,0,0
313,359,38,89,54,11,22,2,10,0,0,0,0
314,552,363,18,49,62,63,2,10,0,0,0,0
315,552,363,18,49,62,63,2,10,0,0,0,0
316,552,363,18,49,62,63,2,10,0,0,0,0
317,109,38,89,54,11,22,2,10,0,0,0,0
318,109,38,89,54,11,22,2,10,0,0,0,0
319,109,38,89,54,11,22,2,10,0,0,0,0
320,396,196,89,68,11,22,2,10,0,0,0,0
321,396,196,32,68,11,22,2,10,0,0,0,0
322,109,38,89,54,11,22,2,10,0,0,0,0
323,109,38,89,54,11,22,2,10,0,0,0,0
324,109,38,89,54,11,22,2,10,0,0,0,0
325,396,196,32,68,11,22,2,10,0,0,0,0
326,396,196,32,68,11,22,2,10,0,0,0,0
327,638,36,35,60,19,30,2,10,0,0,0,0
328,109,38,89,54,11,22,2,10,0,0,0,0
329,358,38,89,54,11,22,2,10,0,0,0,0
330,358,38,89,54,11,22,2,10,0,0,0,0
331,241,196,32,68,11,22,2,10,0,0,0,0
332,638,36,35,60,19,30,2,10,0,0,0,0
333,638,36,35,60,19,30,2,10,0,0,0,0
334,358,38,89,54,11,22,2,10,0,0,0,0
335,358,38,89,54,11,22,2,10,0,0,0,0
336,186,208,152,54,11,22,2,10,0,0,0,0
337,186,208,152,54,11,22,2,10,0,0,0,0
338,186,208,152,54,11,22,2,10,0,0,0,0
339,412,340,32,68,11,22,2,10,0,0,0,0
340,241,196,32,68,11,22,2,10,0,0,0,0
341,241,196,32,68,11,22,2,10,0,0,0,0
342,212,104,32,68,11,22,2,10,0,0,0,0
343,328,104,32,68,11,22,2,10,0,0,0,0
344,328,104,32,68,11,22,2,10,0,0,0,0
345,243,235,152,54,11,22,2,10,0,0,0,0
346,186,208,152,54,11,22,2,10,0,0,0,0
347,186,208,152,54,11,22,2,10,0,0,0,0
348,412,340,32,68,11,22,2,10,0,0,0,0
349,241,196,32,68,11,22,2,10,0,0,0,0
350,241,196,32,68,11,22,2,10,0,0,0,0
351,212,104,32,68,11,22,2,10,0,0,0,0
352,212,104,32,68,11,22,2,10,0,0,0,0
353,328,104,32,68,11,22,2,10,0,0,0,0
354,328,104,32,68,11,22,2,10,0,0,0,0
355,243,235,152,54,11,22,2,10,0,0,0,0
356,243,235,152,54,11,22,2,10,0,0,0,0
357,243,235,152,54,11,22,2,10,0,0,0,0
358,412,340,32,68,11,22,2,10,0,0,0,0
359,212,104,32,68,11,22,2,10,0,0,0,0
360,212,104,32,68,11,22,2,10,0,0,0,0
361,243,235,152,54,11,22,2,10,0,0,0,0
362,412,340,32,68,11,22,2,10,0,0,0,0
363,753,340,32,68,11,22,2,10,0,0,0,0
364,566,44,8,32,45,51,14,17,13,0,0,1
365,685,235,152,60,11,22,2,10,0,0,0,0
366,753,340,32,68,11,22,2,10,0,0,0,0
367,566,44,8,32,45,51,14,17,13,0,0,1
368,685,235,152,60,11,22,2,10,0,0,0,0
369,566,44,8,32,45,51,14,17,13,0,0,1
370,685,235,152,60,11,22,2,10,0,0,0,0
371,875,104,32,68,11,22,2,10,0,0,0,0
372,200,44,8,32,45,51,14,17,13,0,0,1
373,875,104,32,68,11,22,2,10,0,0,0,0
374,200,44,8,32,45,51,14,17,13,0,0,1
375,40,36,35,60,19,30,2,10,0,0,0,0
376,40,36,35,60,19,30,2,10,0,0,0,0
377,200,44,8,32,45,51,14,17,13,0,0,1
378,200,44,8,32,45,51,14,17,13,0,0,1
379,200,44,8,32,45,51,14,17,13,0,0,1
380,323,314,30,71,19,30,2,10,0,0,0,0
381,323,314,30,71,19,30,2,10,0,0,0,0
382,323,314,30,71,19,30,2,10,0,0,0,0
383,648,36,35,60,19,30,2,10,0,0,0,0
384,40,36,35,60,19,30,2,10,0,0,0,0
385,40,36,35,60,19,30,2,10,0,0,0,0
386,40,36,35,60,19,30,2,10,0,0,0,0
387,911,0,0,0,0,0,0,0,0,0,0,0
388,519,162,8,32,45,51,14,17,13,0,0,1
389,91,284,24,63,72,67,0,0,0,0,0,0
390,867,314,30,71,19,30,2,10,0,0,0,0
391,648,36,35,60,19,30,2,10,0,0,0,0
392,648,36,35,60,19,30,2,10,0,0,0,0
393,40,36,35,60,19,30,2,10,0,0,0,0
394,40,36,35,60,19,30,2,10,0,0,0,0
395,911,0,0,0,0,0,0,0,0,0,0,0
396,519,162,8,32,45,51,14,17,13,0,0,1
397,91,284,24,63,72,67,0,0,0,0,0,0
398,867,314,30,71,19,30,2,10,0,0,0,0
399,601,242,30,71,19,30,2,10,0,0,0,0
400,599,293,30,71,19,30,2,10,0,0,0,0
401,40,36,35,60,19,30,2,10,0,0,0,0
402,547,161,112,7,20,14,14,17,13,2,2,1
403,519,162,8,32,45,51,14,17,13,0,0,1
404,91,284,24,63,72,67,0,0,0,0,0,0
405,91,284,24,63,72,67,0,0,0,0,0,0
406,601,242,30,71,19,30,2,10,0,0,0,0
407,601,242,30,71,19,30,2,10,0,0,0,0
408,805,293,30,71,19,30,2,10,0,0,0,0
409,805,293,30,71,19,30,2,10,0,0,0,0
410,599,293,30,71,19,30,2,10,0,0,0,0
411,40,36,35,60,19,30,2,10,0,0,0,0
412,547,161,112,7,20,14,14,17,13,2,2,1
413,547,161,112,7,20,14,14,17,13,2,2,1
414,370,162,8,32,45,51,14,17,13,0,0,1
415,91,284,24,63,72,67,0,0,0,0,0,0
416,514,242,30,71,19,30,2,10,0,0,0,0
417,514,242,30,71,19,30,2,10,0,0,0,0
418,599,293,30,71,19,30,2,10,0,0,0,0
419,218,355,30,71,19,30,2,10,0,0,0,0
420,218,355,30,71,19,30,2,10,0,0,0,0
421,218,355,30,71,19,30,2,10,0,0,0,0
422,218,355,30,71,19,30,2,10,0,0,0,0
423,218,355,30,71,19,30,2,10,0,0,0,0
424,436,307,112,7,20,14,14,17,13,2,2,1
425,370,162,8,32,45,51,14,17,13,0,0,1
426,370,162,8,32,45,51,14,17,13,2,2,1
427,544,162,8,32,45,51,14,17,13,2,2,1
428,91,284,24,63,72,67,0,0,0,0,0,0
429,91,284,24,63,72,67,0,0,0,0,0,0
430,323,314,30,71,19,30,2,10,0,0,0,0
431,514,242,30,71,19,30,2,10,0,0,0,0
432,763,293,30,71,19,30,2,10,0,0,0,0
433,436,307,112,7,20,14,14,17,13,2,2,1
434,436,307,112,7,20,14,14,17,13,2,2,1
435,370,162,8,32,45,51,14,17,13,2,2,1
436,544,162,8,32,45,51,14,17,13,2,2,1
437,544,162,8,32,45,51,14,17,13,2,2,1
438,523,322,24,63,72,67,0,0,0,0,0,0
439,523,322,24,63,72,67,0,0,0,0,0,0
440,523,322,24,63,72,67,0,0,0,0,0,0
441,763,293,30,71,19,30,2,10,0,0,0,0
